release,format,source,buy_url,title
1,digital,internal,https://moonleerecords.bandcamp.com/album/carbon-based,Bandcamp
1,digital,external,https://itunes.apple.com/us/album/carbon-based/id165045328,iTunes
1,digital,external,http://www.deezer.com/album/1038088,Deezer
1,digital,external,https://open.spotify.com/album/1bgRrU9dxTBvYFKqPMpmRP,Spotify
1,digital,external,https://play.google.com/store/music/album/Analena_Carbon_Based?id=Bgbdaub7sfb6hmnodc2baqn2q2a&hl=en,Google Play Music
2,cd,internal,http://store.moonleerecords.com/lunar-turbo-cd.html,
2,digital,internal,https://moonleerecords.bandcamp.com/album/turbo,Bandcamp
2,digital,external,https://itunes.apple.com/us/album/dancefloor-zgaba/id165044667?i=165045075&ign-mpt=uo%3D4,iTunes
2,digital,external,http://www.deezer.com/album/1038092,Deezer
2,digital,external,https://open.spotify.com/album/44J2FTMdPDpl8NKXY17RTo,Spotify
2,digital,external,https://play.google.com/store/music/album/Lunar_Turbo?id=B2pwvjzh2ecq7xgvnmscuwhcaqy&hl=en,Google Play Music
3,cd,internal,http://store.moonleerecords.com/dmwt-st-cd.html,
3,digital,internal,https://moonleerecords.bandcamp.com/album/s-t,Bandcamp
3,digital,external,https://itunes.apple.com/ke/album/dont-mess-with-texas/id165046386,iTunes
3,digital,external,http://www.deezer.com/album/1038090,Deezer
3,digital,external,https://open.spotify.com/album/3rheoX5GjUNp1bglbePlkp,Spotify
3,digital,external,https://play.google.com/store/music/album/Don_t_Mess_With_Texas_Don_t_Mess_With_Texas?id=Bs64yahzawx5qy2h7nfu2hb2fda&hl=en,Google Play Music
4,cd,internal,http://store.moonleerecords.com/entreat-deincubation-cd.html,
4,digital,internal,https://moonleerecords.bandcamp.com/album/deincubation,Bandcamp
4,digital,external,https://itunes.apple.com/lk/album/deincubation/id165043361,iTunes
4,digital,external,http://www.deezer.com/album/1084441,Deezer
4,digital,external,https://open.spotify.com/album/47AxzTvjIryvYvvUuWoBSO,Spotify
4,digital,external,https://play.google.com/store/music/album/Entreat_Deincubation?id=Bwbp5cfpropofiktaaonzumuko4&hl=en,Google Play Music
5,cd,internal,http://store.moonleerecords.com/bilk-this-bilk-is-radioactive-cd.html,
5,digital,internal,https://moonleerecords.bandcamp.com/album/this-bilk-is-radioactive,Bandcamp
5,digital,external,https://itunes.apple.com/au/album/this-bilk-is-radio-active/id165038402,iTunes
5,digital,external,http://www.deezer.com/album/1038091,Deezer
5,digital,external,https://open.spotify.com/album/1oWCPVIu69EBGZJwzixqvj,Spotify
5,digital,external,https://play.google.com/store/music/album/Bilk_This_Bilk_Is_Radio_Active?id=Bdfn6nl3452qu2ttbp2uvhpa7mq&hl=en,Google Play Music
6,cd,internal,http://store.moonleerecords.com/chang-ffos-trust-this-arcane-device-cd.html,
6,lp,internal,http://store.moonleerecords.com/chang-ffos-trust-this-arcane-device-12inch-vinyl-1.html,
6,digital,internal,https://moonleerecords.bandcamp.com/album/trust-this-arcane-device,Bandcamp
6,digital,external,https://itunes.apple.com/gb/album/trust-this-arcane-device/id165035030,iTunes
6,digital,external,http://www.deezer.com/album/1038087,Deezer
6,digital,external,https://open.spotify.com/album/4IIw1oa2WDqZ3yFGCVG4s7,Spotify
6,digital,external,https://play.google.com/store/music/album/Chang_Ffos_Trust_This_Arcane_Device?id=By6jvg2gws3lbjoz67qy3gmhsty&hl=en,Google Play Music
7,cd,internal,http://store.moonleerecords.com/hitch-we-are-electric-cd.html,
7,lp,internal,http://store.moonleerecords.com/hitch-we-are-electric-12inch-vinyl.html,
7,digital,external,https://moonleerecords.bandcamp.com/album/we-are-electric,Bandcamp
7,digital,external,https://itunes.apple.com/si/album/we-are-electric!/id165037015,iTunes
7,digital,external,http://www.deezer.com/album/1038086,Deezer
7,digital,external,https://open.spotify.com/album/4VVPHtNNVASNEuRp69bmKZ,Spotify
7,digital,external,https://play.google.com/store/music/album/Hitch_We_Are_Electric?id=Bksoylvpmjvcwfsvp77vuosealu&hl=en,Google Play Music
8,digital,internal,https://moonleerecords.bandcamp.com/album/the-acracy-discourse,Bandcamp
8,digital,external,https://itunes.apple.com/gb/album/the-acracy-discourse/id207154057,iTunes
8,digital,external,http://www.deezer.com/album/1039417,Deezer
8,digital,external,https://open.spotify.com/album/42jXEYIqZkVT1yITRY4PED,Spotify
8,digital,external,https://play.google.com/store/music/album/Senata_Fox_The_Acracy_Discourse?id=B7xvh2tqxcsisejuhneqdkpwc6q&hl=en,Google Play Music
9,cd,internal,http://store.moonleerecords.com/debeli-precjednik-through-the-eyes-cd.html,
9,digital,internal,https://moonleerecords.bandcamp.com/album/through-the-eyes-of-the-innocent,Bandcamp
9,digital,external,https://itunes.apple.com/gb/album/through-eyes-innocent/id165034303,iTunes
9,digital,external,http://www.deezer.com/album/1038089,Deezer
9,digital,external,https://open.spotify.com/album/21wJ9oYh1RyySRN3mz2xIs,Spotify
9,digital,external,https://play.google.com/store/music/album/Debeli_Precjednik_Fat_Prezident_Through_The_Eyes_O?id=Bp4jcz5vfklnieiz2npnxehyheu&hl=en,Google Play Music
10,cd,internal,http://store.moonleerecords.com/vuneny-v2-cd.html,
10,digital,internal,https://moonleerecords.bandcamp.com/album/v2,Bandcamp
10,digital,external,https://itunes.apple.com/us/album/v2/id204863582,iTunes
10,digital,external,http://www.deezer.com/album/1039418,Deezer
10,digital,external,https://open.spotify.com/album/6aLj9dPdGHW0f5lfNWABMQ,Spotify
10,digital,external,https://play.google.com/store/music/album/Vuneny_V2?id=Bdemz5z75nbsvppam3b5j6kc2uu&hl=en,Google Play Music
11,cd,internal,http://store.moonleerecords.com/cog-course-over-ground-cd.html,
11,digital,internal,https://moonleerecords.bandcamp.com/album/course-over-ground,Bandcamp
11,digital,external,https://itunes.apple.com/us/album/course-over-ground/id207227000,iTunes
11,digital,external,http://www.deezer.com/album/1039415,Deezer
11,digital,external,https://open.spotify.com/album/1GYqZeRN3Rn9pS4wIEnWZL,Spotify
11,digital,external,https://play.google.com/store/music/album/Cog_Course_Over_Ground?id=Beglsnympdyhfion2qucovuczua&hl=en,Google Play Music
12,cd,internal,http://store.moonleerecords.com/dmwt-los-dias-de-junio-cd.html,
12,lp,internal,http://store.moonleerecords.com/dmwt-los-dias-de-junio-12inch-vinyl.html,
12,digital,internal,https://moonleerecords.bandcamp.com/album/los-dias-de-junio,Bandcamp
12,digital,external,https://itunes.apple.com/us/album/los-dias-de-junio/id262709325,iTunes
12,digital,external,http://www.deezer.com/album/1042681,Deezer
12,digital,external,https://open.spotify.com/album/7uuLoQGdREn75DbOYSUkp4,Spotify
12,digital,external,https://play.google.com/store/music/album/Don_t_Mess_With_Texas_Los_Dias_De_Junio?id=Bdx4nsuo5e7i5vmub2b5tj74say&hl=en,Google Play Music
13,cd,internal,http://store.moonleerecords.com/psycho-path-the-ass-soul-of-psycho-path-cd.html,
13,digital,internal,https://moonleerecords.bandcamp.com/album/the-ass-soul-of-psycho-path,Bandcamp
13,digital,external,https://itunes.apple.com/bs/album/the-ass-soul-of-psycho-path/id274366633,iTunes
13,digital,external,http://www.deezer.com/album/1044316,Deezer
13,digital,external,https://open.spotify.com/album/6eTl3owyc0pXTiQXlpaopG,Spotify
13,digital,external,https://play.google.com/store/music/album/Psycho_Path_The_Ass_Soul_of_Psycho_Path?id=Bmo2xmf3r5i3nkek7kiktog5j6i&hl=en,Google Play Music
14,cd,internal,http://store.moonleerecords.com/damir-avdic-mrtvi-su-mrtvi-cd.html,
14,digital,internal,https://moonleerecords.bandcamp.com/album/mrtvi-su-mrtvi,Bandcamp
14,digital,external,https://itunes.apple.com/us/album/mrtvi-su-mrtvi/id275174208,iTunes
14,digital,external,http://www.deezer.com/album/232875,Deezer
14,digital,external,https://open.spotify.com/album/7DupvSpSKYfjr9O4HG0qrM,Spotify
14,digital,external,https://play.google.com/store/music/album/Damir_Avdi_Mrtvi_Su_Mrtvi?id=Bfxemivhc4tsajeo676peeti5ia&hl=en,Google Play Music
15,cd,internal,http://store.moonleerecords.com/hesus-attor-sonic-gastronomy-volume-one-cd.html,
15,digital,internal,https://moonleerecords.bandcamp.com/album/sonic-gastronomy-volume-1,Bandcamp
15,digital,external,https://itunes.apple.com/us/album/arbeit/id285480943?i=285481115&at=moneystaff1%40gmail.com&ign-mpt=uo%3D4,iTunes
15,digital,external,http://www.deezer.com/album/1088754,Deezer
15,digital,external,https://open.spotify.com/album/4DEQYf2UCSQLRxY6ssuZzP,Spotify
15,digital,external,https://play.google.com/store/music/album/Hesus_Attor_Sonic_Gastronomy_Volume_1?id=Bjqmdjqzr3dfh2qqo6b24kst3wm&hl=en,Google Play Music
16,cd,internal,http://store.moonleerecords.com/bernays-propaganda-happiness-machines-cd.html,
16,digital,internal,https://moonleerecords.bandcamp.com/album/happiness-machines,Bandcamp
16,digital,external,https://itunes.apple.com/us/album/happiness-machines/id308943114,iTunes
16,digital,external,http://www.deezer.com/album/1047432,Deezer
16,digital,external,https://open.spotify.com/album/0Yl2zetVv5l5BRKqYnu1Rr,Spotify
16,digital,external,https://play.google.com/store/music/album/Bernays_Propaganda_Happiness_Machines?id=Bpjdk5d5jnwwaqcwuhre3xbk7be&hl=en,Google Play Music
17,cd,internal,http://store.moonleerecords.com/analena-inconstantinopolis-cd.html,
17,digital,internal,https://moonleerecords.bandcamp.com/album/inconstantinopolis,Bandcamp
17,digital,external,https://itunes.apple.com/us/album/inconstantinopolis/id355971234,iTunes
17,digital,external,http://www.deezer.com/album/1049893,Deezer
17,digital,external,https://open.spotify.com/album/4e8rBBDhc0FTyV71YGphw0,Spotify
17,digital,external,https://play.google.com/store/music/album/Analena_Inconstantinopolis?id=Blrc5whzstk5qgbszzatnzvjdea&hl=en,Google Play Music
18,cd,internal,http://store.moonleerecords.com/in-sane-trust-these-hands-are-worthless-cd.html,
18,digital,internal,https://moonleerecords.bandcamp.com/album/trust-these-hands-are-worthless,Bandcamp
18,digital,external,https://itunes.apple.com/us/album/trust-these-hands...-are-worthless./id355971671,iTunes
18,digital,external,http://www.deezer.com/album/1049892,Deezer
18,digital,external,https://open.spotify.com/album/0EnDCwFAvPk2yhtjJCrp0g,Spotify
18,digital,external,https://play.google.com/store/music/album/In_Sane_Trust_These_Hands_Are_Worthless?id=Bs2hhgt6rjngpwe3h5snf6w7nlu&hl=en,Google Play Music
19,cd,internal,http://store.moonleerecords.com/damir-avdic-zivot-je-raj-cd.html,
19,digital,internal,https://moonleerecords.bandcamp.com/album/ivot-je-raj-2,Bandcamp
19,digital,external,https://itunes.apple.com/us/album/zivot-je-raj/id375216201,iTunes
19,digital,external,http://www.deezer.com/album/1050710,Deezer
19,digital,external,https://open.spotify.com/album/0zGTqaQI8FdF5f4jKqBVnQ,Spotify
19,digital,external,https://play.google.com/store/music/album/Damir_Avdi_%C5%BDivot_je_raj?id=B6rjbdaaws5nbmz7hrhiz3ggqee&hl=en,Google Play Music
20,cd,internal,http://store.moonleerecords.com/bernays-propaganda-my-personal-holiday-cd.html,
20,digital,internal,https://moonleerecords.bandcamp.com/album/my-personal-holiday,Bandcamp
20,digital,external,https://itunes.apple.com/de/album/my-personal-holiday/id371224702?l=en,iTunes
20,digital,external,http://www.deezer.com/album/1093661,Deezer
20,digital,external,https://open.spotify.com/album/60vwH1xMiFggVV50r5btKn,Spotify
20,digital,external,https://play.google.com/store/music/album/Bernays_Propaganda_My_Personal_Holiday?id=B5vvp2hoi274n7srsh6a4gtr24a&hl=en,Google Play Music
21,lp,internal,http://store.moonleerecords.com/storms-we-are-storms-12inch-vinyl.html,
21,digital,internal,https://moonleerecords.bandcamp.com/album/we-are-storms,Bandcamp
21,digital,external,https://itunes.apple.com/si/album/we-are-storms/id450375625,iTunes
21,digital,external,http://www.deezer.com/album/1193457,Deezer
21,digital,external,https://open.spotify.com/album/4sUPyvhoZacFyr8kmTgT58,Spotify
21,digital,external,https://play.google.com/store/music/album/Storms_We_Are_Storms?id=Bulbtiew7y2asqrdasebrcm3squ&hl=en,Google Play Music
22,lp_cd,internal,http://store.moonleerecords.com/nikki-louder-our-world-died-yesterday-12inch-vinyl-cd.html,
22,digital,internal,https://moonleerecords.bandcamp.com/album/our-world-died-yesterday,Bandcamp
22,digital,external,https://itunes.apple.com/us/album/our-world-died-yesterday/id432774501,iTunes
22,digital,external,http://www.deezer.com/album/1193423,Deezer
22,digital,external,https://open.spotify.com/album/6Zdn4faMEN6JT1ZnZUkn6c,Spotify
22,digital,external,https://play.google.com/store/music/album/Nikki_Louder_Our_World_Died_Yesterday?id=Boothbbgndeyhctu6ts5vzl4oha&hl=en,Google Play Music
23,cd,internal,http://store.moonleerecords.com/xaxaxa-tango-revolucioner-cd.html,
23,digital,internal,https://moonleerecords.bandcamp.com/album/tango-revolucioner,Bandcamp
23,digital,external,https://itunes.apple.com/us/album/tango-revolucioner/id430354993,iTunes
23,digital,external,http://www.deezer.com/album/1193456,Deezer
23,digital,external,https://open.spotify.com/album/24huUACQI8KbgbUZrCFts2,Spotify
23,digital,external,https://play.google.com/store/music/album/Xaxaxa_Tango_Revolucioner?id=Bmn6djvn42jznvfwuom2pr5nkty&hl=en,Google Play Music
24,digital,internal,https://moonleerecords.bandcamp.com/album/igraj-slobodno,
25,cd,internal,http://store.moonleerecords.com/debeli-precjednik-bruto-slavo-vbk-cd.html,
25,lp,internal,http://store.moonleerecords.com/debeli-precjednik-bruto-slavo-vbk-12inch-vinyl.html,
25,digital,internal,https://moonleerecords.bandcamp.com/album/bruto-slavo-vbk,Bandcamp
25,digital,external,https://itunes.apple.com/gb/album/bruto-slavo-vbk/id525082708,iTunes
25,digital,external,http://www.deezer.com/album/2743451,Deezer
25,digital,external,https://open.spotify.com/album/1J7vdz3jvxC3awUGvJSYR1,Spotify
25,digital,external,https://play.google.com/store/music/album/Debeli_Precjednik_Fat_Prezident_Bruto_Slavo_VBK?id=Bpdcsior3v6gzfueov6ocga2ppy&hl=en,Google Play Music
26,digital,internal,https://moonleerecords.bandcamp.com/album/split-10,Bandcamp
27,cd,internal,http://store.moonleerecords.com/xaxaxa-siromasni-i-bogati-cd.html,
27,digital,internal,https://moonleerecords.bandcamp.com/album/siroma-ni-i-bogati,Bandcamp
27,digital,external,https://itunes.apple.com/us/album/siromasni-i-bogati/id552974930,iTunes
27,digital,external,http://www.deezer.com/album/5454761,Deezer
27,digital,external,https://open.spotify.com/album/4BQgDOpqRWqtrNGASIN1K9,Spotify
27,digital,external,https://play.google.com/store/music/album/Xaxaxa_Siroma%C5%A1ni_i_bogati?id=B6gnp4msyhfj5eia272sprt5miu&hl=en,Google Play Music
28,cd,internal,http://store.moonleerecords.com/repetitor-dobrodosli-na-okean-cd.html,
28,digital,internal,https://moonleerecords.bandcamp.com/album/dobrodo-li-na-okean,Bandcamp
28,digital,external,https://itunes.apple.com/us/album/dobrodosli-na-okean/id583517090,iTunes
28,digital,external,http://www.deezer.com/album/6147870,Deezer
28,digital,external,https://open.spotify.com/album/1aqt6Nb82Vm7SC8vN1Ql9h,Spotify
28,digital,external,https://play.google.com/store/music/album/Repetitor_Dobrodo%C5%A1li_na_okean?id=Bp4scifeewvctn5fg54eayfaoeq&hl=en,Google Play Music
29,lp,internal,http://store.moonleerecords.com/cripple-and-casino-with-high-regards-12inch-vinyl.html,
29,digital,internal,https://moonleerecords.bandcamp.com/album/dobrodo-li-na-okean,Bandcamp
29,digital,external,https://moonleerecords.bandcamp.com/album/with-high-regards-2,iTunes
29,digital,external,http://www.deezer.com/album/6350874,Deezer
29,digital,external,https://open.spotify.com/album/47sbR33AlnKjLSLmFwVAfy,Spotify
29,digital,external,https://play.google.com/store/music/album/Cripple_And_Casino_With_High_Regards?id=Bvkso5vqe6u6iafaby4q4hiyshi&hl=en,Google Play Music
30,cd,internal,http://store.moonleerecords.com/bernays-propaganda-zabraneta-planeta-cd.html,
30,digital,internal,https://moonleerecords.bandcamp.com/album/zabraneta-planeta,Bandcamp
30,digital,external,http://www.deezer.com/album/6336331,Deezer
30,digital,external,https://open.spotify.com/album/6k0cLWQKsnS09t2mRfVJPP,Spotify
30,digital,external,https://play.google.com/store/music/album/Bernays_Propaganda_Zabraneta_Planeta?id=Biyxygepqx7gav4eb4b6wkchxnq&hl=en,Google Play Music
31,digital_merch,internal,http://store.moonleerecords.com/trus-first-step-scarf.html,
31,digital_merch,internal,http://store.moonleerecords.com/trus-first-step-tank-top.html,
31,digital_merch,internal,http://store.moonleerecords.com/trus-first-step-bag.html,
31,digital_merch,internal,http://store.moonleerecords.com/trus-first-step-t-shirt.html,
31,digital,internal,https://moonleerecords.bandcamp.com/album/first-step,Bandcamp
31,digital,external,https://itunes.apple.com/ag/album/first-step/id628209425,iTunes
31,digital,external,http://www.deezer.com/album/6468354,Deezer
31,digital,external,https://open.spotify.com/album/2ME6uIEUZyZl6MpO5wfAbD,Spotify
31,digital,external,https://play.google.com/store/music/album/TRUS_First_Step?id=B7eafw2mk54tfuxdm2rfxmoswyq&hl=en,Google Play Music
32,cd,internal,http://store.moonleerecords.com/nikki-louder-golden-men-cd.html,
32,lp,internal,http://store.moonleerecords.com/nikki-louder-golden-men-12inch-vinyl.html,
32,digital,internal,https://moonleerecords.bandcamp.com/album/golden-men,Bandcamp
32,digital,external,https://itunes.apple.com/mu/album/golden-men/id642322391,iTunes
32,digital,external,http://www.deezer.com/album/6550376,Deezer
32,digital,external,https://open.spotify.com/album/6ldmbh8fJ5tHChliSLC2Jc,Spotify
32,digital,external,https://play.google.com/store/music/album/Nikki_Louder_Golden_Men?id=Buwhl344tlfajdlogbdtobkyheu&hl=en,Google Play Music
33,lp,internal,http://store.moonleerecords.com/kleemar-trus-banana-split-12inch.html,
33,digital,internal,https://moonleerecords.bandcamp.com/album/banana-split,Bandcamp
33,digital,external,https://itunes.apple.com/us/album/banana-split/id780582213,iTunes
33,digital,external,http://www.deezer.com/album/7284850,Deezer
33,digital,external,https://open.spotify.com/album/4wsHaaWEvYrCqv08Xefumd,Spotify
33,digital,external,https://play.google.com/store/music/album/Kleemar_Banana_Split?id=Bktrzpfw3dgvqmsjhklo4mvynwy&hl=en,Google Play Music
34,digital,internal,https://moonleerecords.bandcamp.com/album/povijest-bolesti,Bandcamp
34,digital,external,https://itunes.apple.com/us/album/povijest-bolesti-ep/id924564280,iTunes
34,digital,external,http://www.deezer.com/album/8805349,Deezer
34,digital,external,https://open.spotify.com/album/2pqJbl5MiSSTlzo4fPEO6i,Spotify
34,digital,external,https://play.google.com/store/music/album/Debeli_Precjednik_Povijest_Bolesti?id=B4j5wwicfxqkyukkofxn6pi6jhi&hl=en,Google Play Music
35,cd,internal,http://store.moonleerecords.com/xaxaxa-sami-mazi-i-zeni-cd.html,
35,lp,internal,http://store.moonleerecords.com/xaxaxa-sami-mazi-i-zeni-12-vinyl.html,
35,digital,internal,https://moonleerecords.bandcamp.com/album/sami-ma-i-i-eni,Bandcamp
35,digital,external,https://itunes.apple.com/nz/album/sami-mazi-i-zeni/id913902603,iTunes
35,digital,external,http://www.deezer.com/album/8743641,Deezer
35,digital,external,https://open.spotify.com/album/7yD0JR99IqInvTj4NT4zaQ,Spotify
35,digital,external,https://play.google.com/store/music/album/Xaxaxa_Sami_Ma%C5%BEi_I_%C5%BDeni?id=Bjf2jna2yuljntewwbsrkx52dri&hl=en,Google Play Music
36,cd,internal,http://store.moonleerecords.com/iamdisease-praznina-cd.html,
36,10inch,internal,http://store.moonleerecords.com/iamdisease-praznina-10inch.html,
36,digital,internal,https://moonleerecords.bandcamp.com/album/praznina,Bandcamp
36,digital,external,https://itunes.apple.com/us/album/praznina/id951473910,iTunes
36,digital,external,http://www.deezer.com/album/10070168,Deezer
36,digital,external,https://open.spotify.com/album/4Un31sHqisZ0UMV9lLHTBh,Spotify
36,digital,external,https://play.google.com/store/music/album/Iamdisease_Praznina?id=Bxekj5w3og5p4ex5wo3etfcpspm&hl=en,Google Play Music
37,cd,internal,http://store.moonleerecords.com/vlasta-popic-kvadrat-cd.html,
37,lp,internal,http://store.moonleerecords.com/vlasta-popic-kvadrat-12inch-vinyl.html,
37,digital,internal,https://moonleerecords.bandcamp.com/album/kvadrat,Bandcamp
37,digital,external,https://itunes.apple.com/us/album/kvadrat/id962339395,iTunes
37,digital,external,http://www.deezer.com/album/10070172,Deezer
37,digital,external,https://open.spotify.com/album/2bCyGtaHDTJlIkSya2ZIoe,Spotify
37,digital,external,https://play.google.com/store/music/album/Vlasta_Popi%C4%87_Kvadrat?id=Bxujwrppxie3sr5bxzgdettyyym&hl=en,Google Play Music
38,cd,internal,http://store.moonleerecords.com/nikki-louder-trout-cd.html,
38,lp,internal,http://store.moonleerecords.com/nikki-louder-trout-12inch-vinyl.html,
38,digital,internal,https://moonleerecords.bandcamp.com/album/trout,Bandcamp
38,digital,external,https://itunes.apple.com/us/album/trout/id1054641618,iTunes
38,digital,external,http://www.deezer.com/search/nikki%20louder%20trout,Deezer
38,digital,external,https://open.spotify.com/album/24HSQhYMcTIHQFey2mzVBP,Spotify
38,digital,external,https://play.google.com/store/music/album/Nikki_Louder_Trout?id=Bm3hezopgit2tngf5epxl7x65xu&hl=en,Google Play Music
39,cd,internal,http://store.moonleerecords.com/bernays-propaganda-politika-cd.html,
39,lp,internal,http://store.moonleerecords.com/bernays-propaganda-politika-12inch-vinyl.html,
39,digital,internal,https://moonleerecords.bandcamp.com/album/politika,Bandcamp
39,digital,external,https://itunes.apple.com/us/album/politika/id1085422070,iTunes
39,digital,external,http://www.deezer.com/album/12440766,Deezer
39,digital,external,https://open.spotify.com/album/7M5WPnFHv2vOpArIzltoGx,Spotify
39,digital,external,https://play.google.com/store/music/album/Bernays_Propaganda_Politika?id=Buvatbuj2l6c3la6jrgindhdy5i&hl=en,Google Play Music
40,cd,internal,http://store.moonleerecords.com/werefox-das-lied-der-maschinen-cd.html,
40,digital,internal,https://moonleerecords.bandcamp.com/album/das-lied-der-maschinen,Bandcamp
40,digital,external,https://itunes.apple.com/us/album/das-lied-der-maschinen/id1074455541,iTunes
40,digital,external,http://www.deezer.com/album/12170300,Deezer
40,digital,external,https://open.spotify.com/album/5zcAP55V0nbJOgJRBjaitK,Spotify
40,digital,external,https://play.google.com/store/music/album/Werefox_Das_Lied_Der_Maschinen?id=Bg34sbhrnburoqrzu5wjewmhiza&hl=en,Google Play Music
41,digital,internal,https://moonleerecords.bandcamp.com/album/better-live-than-dead,Bandcamp
42,cd,internal,http://store.moonleerecords.com/debeli-precjednik-masinko-split-cd.html,
42,lp,internal,http://store.moonleerecords.com/debeli-precjednik-masinko-split-12inch-vinyl.html,
42,digital,internal,https://moonleerecords.bandcamp.com/album/godina-majmuna-majmun-godine,Bandcamp
42,digital,external,https://itunes.apple.com/us/album/godina-majmuna-majmun-godine/id1156771086,iTunes
42,digital,external,http://www.deezer.com/album/14087854,Deezer
42,digital,external,https://open.spotify.com/album/6xeNP4w80xbLPvQyyU9eH3,Spotify
42,digital,external,https://play.google.com/store/music/album/Debeli_Precjednik_Godina_majmuna_Majmun_godine?id=Be2b2cjgphuqpzzcsu24bf2dczm&hl=en,Google Play Music
43,cd,internal,http://store.moonleerecords.com/repetitor-gde-ces-cd.html,
43,lp,internal,http://store.moonleerecords.com/repetitor-gde-ces-12inch-vinyl.html,
43,digital,internal,https://moonleerecords.bandcamp.com/album/gde-e,Bandcamp
43,digital,external,https://itunes.apple.com/us/album/gde-ces/id1164362934,iTunes
43,digital,external,http://www.deezer.com/album/14273262,Deezer
43,digital,external,https://open.spotify.com/album/1Y8CBwhpLbUNq1LKg3YRTZ,Spotify
43,digital,external,https://play.google.com/store/music/album/Repetitor_Gde_%C4%87e%C5%A1?id=B4qygavervhz3wdstmn77hrgrbu&hl=en,Google Play Music